rank,pair_id,asset_x,asset_y,already_tested,already_fetched,quality_status,quality_blockers,market_risk_status,market_risk_reasons,missing_funding_markets,fetch_command,request_template_command,data_goal,sample_size_note,notes
,btc_eth,BTC-USD,ETH-USD,True,True,research_usable,,clean,,BTC-USD;ETH-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y ETH-USD --pair-id btc_eth --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y ETH-USD --pair-id btc_eth --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,btc_sol,BTC-USD,SOL-USD,True,True,research_usable,,clean,,BTC-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y SOL-USD --pair-id btc_sol --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y SOL-USD --pair-id btc_sol --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,eth_sol,ETH-USD,SOL-USD,True,True,research_usable,,clean,,ETH-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y SOL-USD --pair-id eth_sol --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y SOL-USD --pair-id eth_sol --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,eth_avax,ETH-USD,AVAX-USD,True,True,research_usable,,clean,,AVAX-USD;ETH-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y AVAX-USD --pair-id eth_avax --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y AVAX-USD --pair-id eth_avax --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,eth_link,ETH-USD,LINK-USD,True,True,research_usable,,clean,,ETH-USD;LINK-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y LINK-USD --pair-id eth_link --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y LINK-USD --pair-id eth_link --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,sol_avax,SOL-USD,AVAX-USD,True,True,research_usable,,clean,,AVAX-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y AVAX-USD --pair-id sol_avax --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y AVAX-USD --pair-id sol_avax --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,sol_link,SOL-USD,LINK-USD,True,True,research_usable,,clean,,LINK-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y LINK-USD --pair-id sol_link --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y LINK-USD --pair-id sol_link --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,btc_avax,BTC-USD,AVAX-USD,True,True,research_usable,,clean,,AVAX-USD;BTC-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y AVAX-USD --pair-id btc_avax --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y AVAX-USD --pair-id btc_avax --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,btc_link,BTC-USD,LINK-USD,True,True,research_usable,,clean,,BTC-USD;LINK-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y LINK-USD --pair-id btc_link --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y LINK-USD --pair-id btc_link --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,aave_uni,AAVE-USD,UNI-USD,True,True,quality_blocked,price_x_stale_above_90pct;price_y_stale_above_90pct,stale_market_risk,AAVE-USD:stale_price_x;UNI-USD:stale_price_y,AAVE-USD;UNI-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x AAVE-USD --asset-y UNI-USD --pair-id aave_uni --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x AAVE-USD --asset-y UNI-USD --pair-id aave_uni --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,arb_op,ARB-USD,OP-USD,True,True,quality_blocked,price_x_stale_above_90pct;price_y_stale_above_90pct,stale_market_risk,ARB-USD:stale_price_y;OP-USD:stale_price_y,ARB-USD;OP-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ARB-USD --asset-y OP-USD --pair-id arb_op --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ARB-USD --asset-y OP-USD --pair-id arb_op --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,matic_arb,MATIC-USD,ARB-USD,True,True,quality_blocked,price_x_stale_above_90pct;price_y_stale_above_90pct,stale_market_risk,MATIC-USD:stale_price_x;ARB-USD:stale_price_y,ARB-USD;MATIC-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x MATIC-USD --asset-y ARB-USD --pair-id matic_arb --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x MATIC-USD --asset-y ARB-USD --pair-id matic_arb --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,doge_xrp,DOGE-USD,XRP-USD,True,True,research_usable,,clean,,DOGE-USD;XRP-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x DOGE-USD --asset-y XRP-USD --pair-id doge_xrp --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x DOGE-USD --asset-y XRP-USD --pair-id doge_xrp --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,doge_ltc,DOGE-USD,LTC-USD,True,True,research_usable,,clean,,DOGE-USD;LTC-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x DOGE-USD --asset-y LTC-USD --pair-id doge_ltc --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x DOGE-USD --asset-y LTC-USD --pair-id doge_ltc --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
,eth_mkr,ETH-USD,MKR-USD,True,True,quality_blocked,price_y_stale_above_90pct,stale_market_risk,MKR-USD:stale_price_y,ETH-USD;MKR-USD,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y MKR-USD --pair-id eth_mkr --limit 100 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio --run-research,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y MKR-USD --pair-id eth_mkr --limit 100 --indexer-base https://indexer.dydx.trade,"add a new 5-minute two-leg pair with candles, derived hedge ratio/beta, funding, and P2 rerun",pairs_tested=41;total_trades=99052;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,verify dYdX market availability; keep paper trading blocked until strategy acceptance passes
