regime,strategy_name,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
ALL,Composite Quant Score,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Copula + ECM Strategy,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Copula Risk Filter,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,ECM + Copula + ZScore,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,ECM Leadership,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Feature Importance Model,4,0,inf,-0.5921866016904924,0.12639111980521714,-0.10003259180022872,-0.101199578893295,0.0011669870930662851,0.00125,0.0012000000000000001,0.0036225355180658264,0.0006000000000000001,2e-05,0.40908333333333335,2,4,0
ALL,Hurst + Half-Life,4,0,inf,0.10624484877169832,0.0739764592135581,0.05799265525929165,0.013766024729339965,0.02591852782591275,0.051250000000000004,0.049199999999999994,0.003853069131488634,0.024599999999999997,0.0008200000000000001,0.4985,42,4,0
ALL,Hurst Filter,4,0,inf,0.10624484877169832,0.0739764592135581,0.05799265525929165,0.013766024729339965,0.02591852782591275,0.051250000000000004,0.049199999999999994,0.003853069131488634,0.024599999999999997,0.0008200000000000001,0.4985,42,4,0
ALL,Leader/Follower Prediction,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Pair Ranking Strategy,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Portfolio Rotation,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Pure ECM,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Risk Adjusted Ranking,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Trade Outcome Predictor,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Weighted Voting Model,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,ZScore + ECM,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Proprietary Signal Stack,4,0,0.7812617042249188,-0.3724868285517995,0.08854487208263273,0.04021178790032498,-0.01259140845865725,0.05035604187593551,0.1,0.09600000000000002,0.005592775599425697,0.04800000000000001,0.0016,0.984,82,4,0
ALL,Profile Match,4,0,0.7381434347483151,-0.388818064910824,0.0994568213176181,0.006398095627940581,-0.0254320210283126,0.03183011665625318,0.0625,0.06000000000000001,0.005582823150268576,0.030000000000000006,0.001,0.9801666666666666,52,4,0
ALL,KMeans Regime Model,4,0,0.6874521789493523,-0.34707921765939376,0.09824821566586417,0.001055191987489823,-0.02456840548606487,0.025623597473554693,0.052500000000000005,0.05040000000000001,0.005594943753275794,0.025200000000000004,0.0008400000000000001,0.9854166666666666,44,4,0
ALL,Half-Life Optimized,4,0,0.6686927290540134,-0.6865753479908991,0.09655410873324682,0.03802083030280595,-0.02170531101469403,0.05820578695441392,0.1175,0.11280000000000001,0.005595470923741571,0.056400000000000006,0.0018800000000000002,0.9859166666666667,96,4,0
ALL,Meta Model,4,0,0.6169609580345576,-0.978186193228487,0.10701163718968967,0.02628856223312226,-0.03394926791505354,0.055732267479109254,0.11,0.1056,0.005594357110823029,0.0528,0.00176,0.9855,90,4,0
ALL,Dynamic Threshold Model,4,0,0.5982550201504185,-0.7902533965736624,0.10939661655383381,0.024403226402372524,-0.02624260214337698,0.050645828545749505,0.10250000000000001,0.0984,0.005595470923741571,0.0492,0.0016400000000000002,0.9859166666666667,84,4,0
ALL,Dual Conditional Copula,4,0,0.5918958471664196,-2.296071973865497,0.11811851556143825,0.16814022993632216,-0.056166006048302575,0.15218263539240384,0.26,0.2496,0.005606666534764737,0.1248,0.0041600000000000005,0.9985833333333334,210,4,0
ALL,ML Confidence,4,0,0.556030408901123,-1.20913838690364,0.11664349741668283,0.018797364338258515,-0.04499770654146279,0.0637950708797213,0.13,0.12480000000000002,0.005594357110823029,0.06240000000000001,0.0020800000000000003,0.9855,106,4,0
ALL,Tail Event Reversion,4,0,0.550896544304856,-2.660186440144072,0.13476869543471137,0.09180679489314325,-0.07878855365447635,0.11791737930593205,0.21500000000000002,0.20640000000000003,0.005606666534764737,0.10320000000000001,0.0034400000000000003,0.9985833333333334,174,4,0
ALL,OU Optimal,4,0,0.5494366707903504,-1.1746543239517866,0.11847753406825272,0.018195131336268544,-0.04547321722792558,0.06366834856419412,0.13,0.12480000000000002,0.005594357110823029,0.06240000000000001,0.0020800000000000003,0.9855,106,4,0
ALL,Copula Divergence Persistence,4,0,0.5181368201679074,-2.7967226071803113,0.13361623494927505,0.10164156905112448,-0.08995650809811478,0.1313425635599038,0.24000000000000005,0.2304,0.005606553691048858,0.1152,0.00384,0.9985416666666667,194,4,0
ALL,HMM Regime Model,4,0,0.5115882835897948,-0.870382750696754,0.11098740583559494,-0.02224587680513762,-0.05105650112776544,0.02881062432262782,0.0625,0.06,0.005356543272575686,0.03,0.001,0.775625,52,4,0
ALL,Copula Tail Risk Sizing,4,0,0.4854368237369131,-3.142013717978114,0.14503269435749794,0.1193045101951638,-0.11071495426936656,0.16849897906762806,0.31,0.29760000000000003,0.005606666534764737,0.14880000000000002,0.00496,0.9985833333333334,250,4,0
ALL,Pure Copula,4,0,0.4854368237369131,-3.142013717978114,0.14503269435749794,0.1193045101951638,-0.11071495426936656,0.16849897906762806,0.31,0.29760000000000003,0.005606666534764737,0.14880000000000002,0.00496,0.9985833333333334,250,4,0
ALL,Regime Filtered Stat-Arb,4,0,0.4787206126962987,-1.1172632453834381,0.11103509612518897,-0.020653987832881415,-0.05365548605187165,0.03300149821899023,0.0675,0.0648,0.005594943753275794,0.0324,0.00108,0.9854166666666666,56,4,0
ALL,GMM Regime Model,4,0,0.47327792122466583,-0.9065168327985643,0.1106875557260069,-0.027868349992028918,-0.054371262500840234,0.026502912508811316,0.05750000000000001,0.0552,0.005354245458723669,0.0276,0.0009200000000000001,0.7731666666666667,48,4,0
ALL,Classic ZScore Mean Reversion,4,0,0.47326580416638164,-1.0540274925555817,0.1319324265121375,-0.018831117872338876,-0.05599446289007354,0.03716334501773466,0.0775,0.07440000000000001,0.005594943753275794,0.037200000000000004,0.00124,0.9854166666666666,64,4,0
ALL,ZScore + Copula,4,0,0.47326580416638164,-1.0540274925555817,0.1319324265121375,-0.018831117872338876,-0.05599446289007354,0.03716334501773466,0.0775,0.07440000000000001,0.005594943753275794,0.037200000000000004,0.00124,0.9854166666666666,64,4,0
ALL,Copula Dislocation Ranking Engine,4,0,0.39780640410077056,-3.3720155860133754,0.17718567880376462,0.07351071993729869,-0.12148488707095406,0.19499560700825275,0.4,0.38400000000000006,0.005606666534764737,0.19200000000000003,0.0064,0.9985833333333334,322,4,0
ALL,Pure Copula Portfolio,4,0,0.39780640410077056,-3.3720155860133754,0.17718567880376462,0.07351071993729869,-0.12148488707095406,0.19499560700825275,0.4,0.38400000000000006,0.005606666534764737,0.19200000000000003,0.0064,0.9985833333333334,322,4,0
ALL,Copula + Regime Strategy,4,0,0.3872260660335225,-3.189873387000968,0.17852522081727612,0.005737210233589252,-0.12565209107686898,0.13138930131045823,0.28,0.26880000000000004,0.005606666534764737,0.13440000000000002,0.00448,0.9985833333333334,226,4,0
bear,Composite Quant Score,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Copula + ECM Strategy,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Copula + Regime Strategy,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Copula Risk Filter,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,ECM + Copula + ZScore,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,ECM Leadership,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Feature Importance Model,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,GMM Regime Model,4,0,inf,-0.053204301311550406,0.0729692851234453,0.12816203020126155,0.12617814685764406,0.001863987940012246,0.0025,0.0024000000000000002,0.0006310763657350097,0.0012000000000000001,4e-05,0.9743941513336442,4,4,0
bear,HMM Regime Model,4,0,inf,-0.07747201468383125,0.07296928512344575,0.12642889674551444,0.12444855703991686,0.0018619173404962885,0.0025,0.0024000000000000002,0.0006320422042627736,0.0012000000000000001,4e-05,0.9770303552000765,4,4,0
bear,Hurst + Half-Life,4,0,inf,2.1122851857419134,0.052873256928647215,0.13294410306354154,0.131538239591936,0.0008680017589980382,0.00125,0.0012000000000000001,0.0005237400527399409,0.0006000000000000001,2e-05,0.48213239601640306,2,4,0
bear,Hurst Filter,4,0,inf,2.1122851857419134,0.052873256928647215,0.13294410306354154,0.131538239591936,0.0008680017589980382,0.00125,0.0012000000000000001,0.0005237400527399409,0.0006000000000000001,2e-05,0.48213239601640306,2,4,0
bear,KMeans Regime Model,4,0,inf,-0.07747201468383125,0.07296928512344575,0.12642889674551444,0.12444855703991686,0.0018619173404962885,0.0025,0.0024000000000000002,0.0006320422042627736,0.0012000000000000001,4e-05,0.9770303552000765,4,4,0
bear,Leader/Follower Prediction,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Pair Ranking Strategy,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Portfolio Rotation,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Profile Match,4,0,inf,-2.9292402263203665,0.07193104734327635,0.13305398869018703,0.12492319580830596,0.006630325109291568,0.01,0.009600000000000001,0.0006319350234931791,0.0048000000000000004,0.00016,0.9661179058618174,10,4,0
bear,Pure ECM,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Regime Filtered Stat-Arb,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Risk Adjusted Ranking,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Trade Outcome Predictor,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Weighted Voting Model,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,ZScore + ECM,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bear,Classic ZScore Mean Reversion,4,0,1.5816764923010969,-4.460751549767105,0.08172584861314328,0.05380807545463928,0.0419960809900079,0.008716959857794415,0.015000000000000001,0.0144,0.0006320422042627736,0.0072,0.00024000000000000003,0.9770303552000765,14,4,0
bear,ZScore + Copula,4,0,1.5816764923010969,-4.460751549767105,0.08172584861314328,0.05380807545463928,0.0419960809900079,0.008716959857794415,0.015000000000000001,0.0144,0.0006320422042627736,0.0072,0.00024000000000000003,0.9770303552000765,14,4,0
bear,Proprietary Signal Stack,4,0,1.141641683762805,-3.3366022503765,0.0625266945082406,0.07724866833889987,0.05601435182374909,0.014139448655932252,0.025,0.024,0.0006332162131863948,0.012,0.0004,0.9766148990351853,22,4,0
bear,Meta Model,4,0,0.9427846868610973,-3.550511021536888,0.06252669450824026,0.06544699758827399,0.04240955690479348,0.015176603561259105,0.027500000000000004,0.026400000000000003,0.0006379644754513818,0.013200000000000002,0.00044,0.9895030068266322,24,4,0
bear,Half-Life Optimized,4,0,0.8985101232538439,-5.445410318320153,0.06766660339944097,0.047839038068116346,0.02742268010884591,0.01364907086467565,0.025,0.024,0.0006275303031626544,0.012,0.0004,0.9255944908719199,22,4,0
bear,ML Confidence,4,0,0.7876626552184306,-3.8336474902419893,0.06158273151169209,0.05187701487108615,0.02507032175964291,0.017349155782434733,0.0325,0.0312,0.0006385481284670637,0.0156,0.0005200000000000001,0.9946050476429588,28,4,0
bear,Dynamic Threshold Model,4,0,0.7855915651829039,-4.868437673598998,0.08154686810787096,0.0319284199956027,0.016308078067707676,0.010891100416304145,0.02,0.0192,0.0006326954777939142,0.0096,0.00032,0.9787878244443647,18,4,0
bear,OU Optimal,4,0,0.7770425441822151,-3.8380056335529673,0.06252669450824153,0.05076459185524462,0.024009635665219575,0.017319566445025025,0.0325,0.0312,0.0006379644754513818,0.0156,0.0005200000000000001,0.9895030068266322,28,4,0
bear,Tail Event Reversion,4,0,0.7082613087533887,-3.784838909148881,0.08899614055109312,0.06775069934464667,0.0274769586007802,0.02515555559441568,0.04750000000000001,0.0456,0.0006385481284670637,0.0228,0.0007600000000000002,0.9946050476429588,40,4,0
bear,Copula Tail Risk Sizing,4,0,0.6344159972068789,-3.991366226958215,0.0964073308193759,0.07224081350410222,0.01476123417064329,0.035250251670268684,0.0675,0.06480000000000001,0.0006385481284670637,0.032400000000000005,0.00108,0.9946050476429588,56,4,0
bear,Pure Copula,4,0,0.6344159972068789,-3.991366226958215,0.0964073308193759,0.07224081350410222,0.01476123417064329,0.035250251670268684,0.0675,0.06480000000000001,0.0006385481284670637,0.032400000000000005,0.00108,0.9946050476429588,56,4,0
bear,Copula Divergence Persistence,4,0,0.6274417692440861,-4.073377738240028,0.09878464015350402,0.0490121208699576,0.009894358222383104,0.024490349049353377,0.04750000000000001,0.04560000000000001,0.0006385481284670637,0.022800000000000004,0.0007600000000000002,0.9946050476429588,40,4,0
bear,Copula Dislocation Ranking Engine,4,0,0.6019268381871181,-4.113546143228606,0.09640733081937576,0.07311147071791574,0.007299305889735985,0.04018979284669827,0.0775,0.07440000000000001,0.0006385481284670637,0.037200000000000004,0.00124,0.9946050476429588,64,4,0
bear,Pure Copula Portfolio,4,0,0.6019268381871181,-4.113546143228606,0.09640733081937576,0.07311147071791574,0.007299305889735985,0.04018979284669827,0.0775,0.07440000000000001,0.0006385481284670637,0.037200000000000004,0.00124,0.9946050476429588,64,4,0
bear,Dual Conditional Copula,4,0,0.5988018068382223,-4.150789373275106,0.09692847080971015,0.052618675859125885,0.0050866029912118305,0.029410046766943754,0.0575,0.0552,0.0006385481284670637,0.0276,0.0009200000000000001,0.9946050476429588,48,4,0
bull,Composite Quant Score,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Copula + ECM Strategy,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Copula Risk Filter,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,ECM + Copula + ZScore,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,ECM Leadership,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Feature Importance Model,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,GMM Regime Model,4,0,inf,2.365178270003317,0.13595672836897102,-0.11076582110621658,-0.11231291397737758,0.0014357362396827389,0.0025,0.0024000000000000002,0.0006321182058252777,0.0012000000000000001,4e-05,0.723794760135375,4,4,0
bull,HMM Regime Model,4,0,inf,2.66237582894545,0.13595672836897096,-0.11017969939307559,-0.11172699782313095,0.0014354427917924184,0.0025,0.0024000000000000002,0.000628302495787271,0.0012000000000000001,4e-05,0.7194844153077888,4,4,0
bull,Hurst + Half-Life,4,0,inf,-1.3114696723339745,0.12298933251870368,-0.07782181329107629,-0.08119195288046988,0.0033701395893935837,0.00875,0.008400000000000001,0.0005288178978884506,0.004200000000000001,0.00014000000000000001,0.49965682910089226,8,4,0
bull,Hurst Filter,4,0,inf,-1.3114696723339745,0.12298933251870368,-0.07782181329107629,-0.08119195288046988,0.0033701395893935837,0.00875,0.008400000000000001,0.0005288178978884506,0.004200000000000001,0.00014000000000000001,0.49965682910089226,8,4,0
bull,KMeans Regime Model,4,0,inf,1.141168569149405,0.1411959245960803,-0.10938185267176037,-0.11096788014113962,0.0014735253139133153,0.0025,0.0024000000000000002,0.0007737827168251563,0.0012000000000000001,4e-05,0.9565533808250302,4,4,0
bull,Leader/Follower Prediction,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Pair Ranking Strategy,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Portfolio Rotation,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Profile Match,4,0,inf,3.5764739154151273,0.07059460046489455,-0.007395308258906441,-0.014403192743111415,0.007007884484204974,0.015,0.0144,0.0007679498860497994,0.0072,0.00024000000000000003,0.9328331716091165,14,4,0
bull,Pure ECM,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Risk Adjusted Ranking,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Trade Outcome Predictor,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Weighted Voting Model,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,ZScore + ECM,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
bull,Meta Model,4,0,0.8070142475792086,-0.9930247101526142,0.0977531880324834,-0.00234808044618251,-0.026376360855041248,0.024028280408858738,0.05,0.048,0.0007715731234787224,0.024,0.0008000000000000001,0.9445009821787802,42,4,0
bull,OU Optimal,4,0,0.7787880548350636,-1.3601610317884405,0.09934931805407776,0.0043280969398890035,-0.022141541261329722,0.026469638201218726,0.055,0.05280000000000001,0.0007726685606381824,0.026400000000000003,0.0008800000000000001,0.9505271815019052,46,4,0
bull,ML Confidence,4,0,0.7581156542547405,-1.580818605599605,0.10011733235916696,0.004902038998853664,-0.021618934433459303,0.026520973432312966,0.055,0.05280000000000001,0.0007723322535887358,0.026400000000000003,0.0008800000000000001,0.9469031784725346,46,4,0
